DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
06-Jan-2021,54,36,2,8,51,52,10,6,Guinevere,2613
02-Jan-2021,36,9,39,6,8,57,37,5,Lancelot,2612
30-Dec-2020,17,21,11,49,37,24,45,5,Lancelot,2611
26-Dec-2020,43,44,55,52,26,46,6,8,Lancelot,2610
23-Dec-2020,48,51,42,20,54,52,21,8,Lancelot,2609
19-Dec-2020,4,28,21,10,27,14,23,7,Guinevere,2608
16-Dec-2020,43,38,28,36,2,30,33,7,Guinevere,2607
12-Dec-2020,13,49,38,39,53,56,59,6,Guinevere,2606
09-Dec-2020,7,28,14,8,10,33,26,6,Guinevere,2605
05-Dec-2020,52,59,51,47,13,38,18,5,Arthur,2604
02-Dec-2020,38,22,39,26,16,47,48,5,Merlin,2603
28-Nov-2020,35,9,46,45,57,27,32,8,Merlin,2602
25-Nov-2020,30,18,11,55,44,33,48,8,Merlin,2601
21-Nov-2020,37,23,54,32,57,49,47,7,Arthur,2600
18-Nov-2020,54,28,27,41,26,18,45,7,Arthur,2599
14-Nov-2020,25,37,56,50,39,44,13,6,Arthur,2598
11-Nov-2020,49,50,36,46,6,59,38,6,Arthur,2597
07-Nov-2020,3,56,52,33,50,45,44,5,Merlin,2596
04-Nov-2020,10,32,50,28,35,20,24,5,Merlin,2595
31-Oct-2020,16,59,1,6,34,49,35,4,Merlin,2594
28-Oct-2020,18,38,59,27,47,11,14,4,Merlin,2593
24-Oct-2020,53,18,47,13,19,57,44,3,Arthur,2592
21-Oct-2020,28,12,27,29,9,44,8,3,Arthur,2591
17-Oct-2020,38,41,26,51,32,49,46,2,Arthur,2590
14-Oct-2020,28,31,46,12,50,9,10,2,Arthur,2589
10-Oct-2020,21,45,36,11,56,49,2,1,Merlin,2588
07-Oct-2020,37,52,58,12,18,56,53,1,Merlin,2587
03-Oct-2020,4,24,1,27,13,47,2,4,Merlin,2586
30-Sep-2020,46,25,10,41,34,55,36,4,Merlin,2585
26-Sep-2020,55,54,1,38,19,35,45,3,Arthur,2584
23-Sep-2020,35,28,8,47,51,17,52,3,Arthur,2583
19-Sep-2020,52,9,13,39,49,53,56,2,Arthur,2582
16-Sep-2020,47,20,16,33,29,49,45,2,Arthur,2581
12-Sep-2020,52,37,23,42,5,36,14,1,Merlin,2580
09-Sep-2020,56,48,50,13,33,11,55,1,Merlin,2579
05-Sep-2020,47,38,3,28,11,36,32,4,Merlin,2578
02-Sep-2020,11,58,54,45,55,15,12,4,Merlin,2577
29-Aug-2020,5,57,10,21,47,51,16,3,Arthur,2576
26-Aug-2020,24,39,31,4,27,8,45,3,Arthur,2575
22-Aug-2020,37,51,24,28,23,19,12,2,Arthur,2574
19-Aug-2020,45,22,32,36,21,50,5,2,Arthur,2573
15-Aug-2020,16,10,22,14,25,34,21,1,Merlin,2572
12-Aug-2020,6,37,27,8,31,51,20,1,Merlin,2571
08-Aug-2020,58,49,40,56,53,2,41,11,Merlin,2570
05-Aug-2020,28,42,51,58,1,43,36,11,Merlin,2569
01-Aug-2020,53,13,24,10,56,4,22,10,Arthur,2568
29-Jul-2020,1,39,24,49,52,46,51,10,Arthur,2567
25-Jul-2020,14,18,10,13,34,33,15,9,Arthur,2566
22-Jul-2020,7,45,23,37,2,11,19,9,Arthur,2565
18-Jul-2020,20,1,32,42,33,24,30,11,Merlin,2564
15-Jul-2020,37,44,9,29,53,27,49,11,Merlin,2563
